Entity,Code,Year,Renewables (TWh - equivalent)
Argentina,ARG,1971,4.760254
Argentina,ARG,1972,4.6860037
Argentina,ARG,1973,9.054804
Argentina,ARG,1974,14.963899
Argentina,ARG,1975,15.565163
Argentina,ARG,1976,15.023618
Argentina,ARG,1977,17.256618
Argentina,ARG,1978,23.110882
Argentina,ARG,1979,31.815584
Argentina,ARG,1980,45.0875
Argentina,ARG,1981,43.700554
Argentina,ARG,1982,52.38695
Argentina,ARG,1983,54.95805
Argentina,ARG,1984,59.1457
Argentina,ARG,1985,61.45415
Argentina,ARG,1986,62.582016
Argentina,ARG,1987,65.13341
Argentina,ARG,1988,45.51364
Argentina,ARG,1989,39.333363
Argentina,ARG,1990,52.8023
Argentina,ARG,1991,47.34342
Argentina,ARG,1992,57.085907
Argentina,ARG,1993,70.58906
Argentina,ARG,1994,81.00246
Argentina,ARG,1995,78.75102
Argentina,ARG,1996,67.188896
Argentina,ARG,1997,83.186714
Argentina,ARG,1998,79.04449
Argentina,ARG,1999,64.20936
Argentina,ARG,2000,85.83185
Argentina,ARG,2001,108.7687
Argentina,ARG,2002,106.3387
Argentina,ARG,2003,101.06318
Argentina,ARG,2004,90.76028
Argentina,ARG,2005,101.1062
Argentina,ARG,2006,111.70711
Argentina,ARG,2007,91.87159
Argentina,ARG,2008,91.64098
Argentina,ARG,2009,100.57703
Argentina,ARG,2010,103.19138
Argentina,ARG,2011,99.38709
Argentina,ARG,2012,96.54039
Argentina,ARG,2013,107.62355
Argentina,ARG,2014,108.16628
Argentina,ARG,2015,108.69596
Argentina,ARG,2016,100.82534
Argentina,ARG,2017,108.614845
Argentina,ARG,2018,112.09361
Argentina,ARG,2019,111.015274
Argentina,ARG,2020,107.283554
Argentina,ARG,2021,108.01448
Asia,,1965,422.89035
Asia,,1966,441.1156
Asia,,1967,412.31506
Asia,,1968,458.25803
Asia,,1969,475.70972
Asia,,1970,487.58813
Asia,,1971,533.2094
Asia,,1972,551.4753
Asia,,1973,512.8583
Asia,,1974,584.10034
Asia,,1975,629.3584
Asia,,1976,647.06866
Asia,,1977,636.32385
Asia,,1978,670.65546
Asia,,1979,727.4789
Asia,,1980,783.02045
Asia,,1981,839.84
Asia,,1982,859.5091
Asia,,1983,903.67566
Asia,,1984,910.4209
Asia,,1985,1072.1608
Asia,,1986,1082.7856
Asia,,1987,1120735
Asia,,1988,1283508
Asia,,1989,1316.8867
Asia,,1990,1370.6445
Asia,,1991,1386.5365
Asia,,1992,1397.3083
Asia,,1993,1546.0801
Asia,,1994,1546125
Asia,,1995,1679.6675
Asia,,1996,1669.7765
Asia,,1997,1675.4253
Asia,,1998,1776.8606
Asia,,1999,1745.1958
Asia,,2000,1806.3026
Asia,,2001,1932992
Asia,,2002,1990.6265
Asia,,2003,2060.3826
Asia,,2004,2404.4111
Asia,,2005,2495.4592
Asia,,2006,2740.8367
Asia,,2007,2884.8635
Asia,,2008,3277.0007
Asia,,2009,3254.8523
Asia,,2010,3785.3276
Asia,,2011,3934378
Asia,,2012,4478706
Asia,,2013,4935386
Asia,,2014,5481636
Asia,,2015,5869.1133
Asia,,2016,6333512
Asia,,2017,6928.8486
Asia,,2018,7562706
Asia,,2019,8295.56
Asia,,2020,8836628
Asia,,2021,9691129
Asia Pacific (BP),,1965,466.32498
Asia Pacific (BP),,1966,484.71707
