Code,Year,GDP 2015 PPP,GDP 2022 (2015 USD PPP),GDP 2022 (2017 USD PPP),Multiplier
DNK,1960,82360585499.8654,356222057631.88745,353799230461.08997,0.9931985481558776
DJI,1960,0.0,3307565405.1624985,5592373778.025646,1.6907825221829276
DMA,1960,0.0,533867403.0042049,833827717.9574826,1.5618629518590688
DOM,1960,10034144591.689386,98050971574.06995,217143110194.39716,2.2145941718727618
ECU,1960,22694043411.014954,100635339955.85878,195476780141.87552,1.9424267879217838
EGY,1960,63445410562.044914,453827104224.60486,1418537854129.6553,3.1257230802759692
SLV,1960,0.0,27100464996.83414,59536826547.47081,2.1968931733985326
GNQ,1960,0.0,9957665857.354395,24986774542.054,2.5093003621526035
EST,1960,0.0,28518917121.59921,50867209717.32932,1.7836304758852262
SWZ,1960,0.0,4822247028.231629,10885427645.900635,2.257335134880562
ETH,1960,0.0,105775519453.14902,293788053498.9423,2.777467366908743
FJI,1960,2015555632.0373,4939873229.038583,11518042114.46601,2.331647307618802
FIN,1960,53294770096.117676,259985498582.81244,273777977547.40417,1.0530509549177738
FRA,1960,616209949795.3141,2638406985036.3213,3120183016557.4175,1.1826011052326197
GAB,1960,3563001749.382645,15855897831.743963,33302039176.256992,2.10029350148721
GMB,1960,0.0,1835641393.187567,5719424859.827765,3.1157637221810845
GEO,1960,0.0,20190828885.804707,63403374976.88251,3.140206642108619
DEU,1960,0.0,3633579269920.3105,4522545872199.405,1.2446531467300537
GHA,1960,20659198455.30447,68003830999.542915,183458814081.90674,2.6977717488172077
GRC,1960,65501861239.676346,211538468429.4315,330579477776.2994,1.5627392985809556
GRD,1960,0.0,1089874059.169431,1814201858.157969,1.664597705482166
GTM,1960,15577898726.304073,78182161579.31055,159033867811.59174,2.034145188608818
GIN,1960,0.0,13782241447.019966,37408147201.042915,2.714228113390903
GNB,1960,0.0,1309350904.2584872,3906060695.9762416,2.983203878557158
GUY,1960,3141874951.0804873,14270953618.873104,28818699423.762302,2.019395493350216
HTI,1960,15016248577.732157,14456828346.330471,32427707826.741947,2.243072066009068
HND,1960,5710308262.883562,25953884373.560226,59562493585.688286,2.2949356145843764
HKG,1960,0.0,318598258232.253,429591711531.7636,1.3483806029429017
HUN,1960,0.0,157531157312.5219,340947086291.47186,2.164315251078083
ISL,1960,0.0,21556161804.58636,21226927351.27783,0.9847266662640061
IND,1960,464104647454.32904,2961515505727.631,10078991437253.588,3.4033221901964095
IDN,1960,160780562407.57718,1122285145727.062,3418905181206.3936,3.046378359566978
IRN,1960,141008994312.33066,487695221421.96594,1369087388258.7922,2.807260207034557
IRQ,1960,0.0,192925535194.34384,409320747067.00964,2.121651478922579
IRL,1960,0.0,498960174855.6298,576526788952.2828,1.1554565233970753
ISR,1960,0.0,408208262853.2228,424288967592.7524,1.0393933837280303
ITA,1960,647210915162.4229,1961616127794.061,2610600572587.215,1.3308417154598797
JAM,1960,0.0,14806380332.686832,28578744427.1919,1.9301641444466306
JPN,1960,674437078030.4712,4529854841042.583,5234968028228.504,1.1556591131347673
JOR,1960,0.0,43915711448.703224,107110421278.02966,2.439000024015152
KAZ,1960,0.0,221549683201.72678,512001895734.2957,2.311002608241622
KEN,1960,16976874253.21778,94795844230.47864,263736892044.1069,2.7821566882497426
KIR,1960,0.0,188123213.8747629,262820717.15726164,1.3970669102656637
