Code,PerCapitaConsumption,MaxGrowth,ProjectedGrowth,Year,PerCapitaConsumptionForecast,Population,ConsumptionForecast
ARE,148.57421560580497,148.57421560580497,0.0,2023,148.57421560580497,9516870.999999996,1413.9616438466323
ARG,21.9944250664212,45.88680619064837,0.306312578515733,2023,22.30073764493693,45773884.0,1020.7913780737763
AUS,63.45883675635106,63.45883675635106,0.0,2023,63.45883675635106,26439111.500000004,1677.7952606614642
AUT,42.68537969803404,42.68537969803404,0.0,2023,42.68537969803404,8958960.499999998,382.4166306421888
AZE,18.74792384718434,60.39190625078557,0.5338972103025799,2023,19.28182105748692,10412651.500000004,200.77488295697285
BEL,58.39579089785198,58.39579089785198,0.0,2023,58.39579089785198,11686140.0,682.4213878430239
BGD,2.912047918417104,22.13543244323354,0.2464536477540568,2023,3.158501566171161,172954319.00000003,546.2764874375666
BGR,34.17553100117327,63.30332751637208,0.373433288656395,2023,34.54896428982966,6687716.999999999,231.0536958134867
BLR,31.13270147225139,80.21263365646267,0.7412547969583665,2023,31.87395626920976,9498238.0,302.74642264654636
BRA,17.29974937753321,54.56612100387059,0.4777739952094536,2023,17.777523372742664,216422446.0,3847.455092151137
CAN,102.1602882297225,102.1602882297225,0.0,2023,102.1602882297225,38781291.49999999,3961.9079175608863
CHE,33.35074842640076,33.35074842640076,0.0,2023,33.35074842640076,8796668.999999998,293.3754948093183
CHL,25.34271074799886,25.34271074799886,0.0,2023,25.34271074799886,19629590.000000004,497.46702147181105
CHN,31.05148215507296,82.06729179535098,0.6540488415420259,2023,31.705530996614986,1425671351.9999995,45201.667241821975
COL,11.746604967449606,35.80913824901166,0.3084940164302827,2023,12.055098983879889,52085167.499999985,627.8918498044636
CYP,25.055436817837315,25.055436817837315,0.0,2023,25.055436817837315,1260138.0000000007,31.573308040755894
CZE,44.24216679915524,44.24216679915524,0.0,2023,44.24216679915524,10495295.000000002,464.3345919963401
DEU,40.97748690734608,40.97748690734608,0.0,2023,40.97748690734608,83294632.5,3413.2047127209535
DNK,32.1979252367478,32.1979252367478,0.0,2023,32.1979252367478,5910913.000000001,190.3191348549207
DZA,15.252127567674703,64.84151244953811,0.6357613446392745,2023,15.887888912313976,45606480.5,724.5906958656136
ECU,12.150252133214822,53.2670898945975,0.5271389456587523,2023,12.677391078873574,18190484.0,230.6078795819925
EGY,9.960061736315351,37.1003136174952,0.3479519471946135,2023,10.308013683509964,112716598.49999999,1161.8842396966984
ESP,33.61533313318038,33.61533313318038,0.0,2023,33.61533313318038,47519627.5,1597.3881087771395
EST,46.50493340432046,46.50493340432046,0.0,2023,46.50493340432046,1322765.5000000002,61.515121487032665
FIN,58.96615229845878,58.96615229845878,0.0,2023,58.96615229845878,5545474.500000001,326.9952939342196
FRA,36.05179358885938,36.05179358885938,0.0,2023,36.05179358885938,64756584.0,2334.590999887634
GBR,30.09788523476273,30.09788523476273,0.0,2023,30.09788523476273,67736802.00000003,2038.7344927658478
GRC,30.41034866635641,30.41034866635641,0.0,2023,30.41034866635641,10341277.0,314.4818392253722
HKG,29.152297203915413,29.152297203915413,0.0,2023,29.152297203915413,7491608.499999999,218.3975975273789
HRV,23.46819097313328,23.46819097313328,0.0,2023,23.46819097313328,4008616.499999999,94.0749775600531
HUN,26.660480776779483,26.660480776779483,0.0,2023,26.660480776779483,10156239.0,270.7702146238781
IDN,9.85445424640931,37.804322609308656,0.3583316456781967,2023,10.212785892087506,277534122.5,2834.3965708408855
IND,7.143405873356667,47.81711813670686,0.5214578495301306,2023,7.664863722886798,1428627663.0000002,10950.236347641247
IRL,37.76139605584867,37.76139605584867,0.0,2023,37.76139605584867,5056934.499999999,190.95690648298506
IRN,38.13308620147785,117.4179170893744,1.0164721908704686,2023,39.14955839234832,89172767.0,3491.0744486737713
IRQ,14.39205426027974,74.48235719341999,0.7703884991428236,2023,15.162442759422564,45504559.999999985,689.9602862927095
ISL,165.8728903441553,165.8728903441553,0.0,2023,165.8728903441553,375318.5,62.25516439463286
ISR,33.64303057131594,33.64303057131594,0.0,2023,33.64303057131594,9174519.5,308.65864001563426
ITA,28.910201002163475,28.910201002163475,0.0,2023,28.910201002163475,58870762.5,1701.965577025628
JPN,39.98491307403856,39.98491307403856,0.0,2023,39.98491307403856,123294513.00000003,4929.920384810918
KAZ,44.701977802039146,80.62770634501604,0.4605862633714986,2023,45.16256406541064,19606633.5,885.4858415507765
KOR,68.12618318739187,68.12618318739187,0.0,2023,68.12618318739187,51784059.0,3527.8502896207087
KWT,103.88306215481232,103.88306215481232,0.0,2023,103.88306215481232,4310107.5,447.74716531642275
LKA,4.347637609372564,16.698447151827388,0.1583437120827541,2023,4.505981321455318,21893579.0,98.6520580338064
LTU,23.151077705718613,23.151077705718613,0.0,2023,23.151077705718613,2718351.5,62.932766807956746
LUX,60.33451286984694,60.33451286984694,0.0,2023,60.33451286984694,654767.5,39.505078155507505
LVA,21.43564495412696,21.43564495412696,0.0,2023,21.43564495412696,1830211.5,39.23176390496013
MAR,6.855111800571258,39.76191459393545,0.4218820870944127,2023,7.276993887665671,37840044.0,275.361768897
MEX,19.00918388715196,44.679483529795405,0.3291064056749159,2023,19.33829029282688,128455566.5,2484.111034706528
MKD,13.875025130176583,39.23700412316212,0.325153576833148,2023,14.200178707009732,2085679.0,29.61701452545735
MYS,39.58699073255799,66.39829970274144,0.6306583978005577,2023,40.21764913035855,34308525.0,1379.8082206301347
NLD,56.00077983312925,56.00077983312925,0.0,2023,56.00077983312925,17618298.5,986.6384553328513
NOR,96.9263191947326,96.9263191947326,0.0,2023,96.9263191947326,5474359.999999999,530.6095647468762
NZL,44.93927483494892,44.93927483494892,0.0,2023,44.93927483494892,5228099.499999999,234.94700029495897
OMN,90.7514791562962,90.7514791562962,0.0,2023,90.7514791562962,4644384.000000001,421.48471776983564
PAK,4.242753225394122,37.56493480068901,0.4272074560935242,2023,4.6699606814876455,240485657.5,1123.0585649867046
PER,9.835474135025157,36.74207954262873,0.3449564795846612,2023,10.180430614609818,34352718.5,349.7254671124731
PHL,5.066785186778471,28.107314987853663,0.2953914077060922,2023,5.362176594484564,117337367.99999996,629.1836883480217
POL,30.065417880966915,30.065417880966915,0.0,2023,30.065417880966915,41026067.5,1233.4658634002558
PRT,25.094378126866623,25.094378126866623,0.0,2023,25.094378126866623,10247604.999999998,257.157274764769
QAT,194.0634944726065,194.0634944726065,0.0,2023,194.0634944726065,2716391.0000000005,527.1523298139382
ROU,18.34687143592055,18.34687143592055,0.0,2023,18.34687143592055,19892811.999999996,364.9708642629375
RUS,55.459425246802105,94.87151538439484,0.5052832068922145,2023,55.96470845369432,144444358.99999994,8083.786439215754
SAU,87.70730172993795,87.70730172993795,0.0,2023,87.70730172993795,36947025.0,3240.5238696985607
