Code,PerCapitaConsumption,MaxGrowth,ProjectedGrowth,Year,PerCapitaConsumptionForecast
ARE,148.57421560580497,148.57421560580497,0.0,2023,148.57421560580497
ARG,21.994425066421197,45.88680619064837,0.306312578515733,2023,22.30073764493693
AUS,63.45883675635106,63.45883675635106,0.0,2023,63.45883675635106
AUT,42.68537969803404,42.68537969803404,0.0,2023,42.68537969803404
AZE,18.74792384718434,60.39190625078557,0.5338972103025799,2023,19.28182105748692
BEL,58.39579089785198,58.39579089785198,0.0,2023,58.39579089785198
BGD,2.912047918417104,22.13543244323354,0.24645364775405687,2023,3.158501566171161
BGR,34.17553100117327,63.30332751637208,0.373433288656395,2023,34.54896428982966
BLR,31.13270147225139,80.21263365646267,0.7412547969583665,2023,31.873956269209756
BRA,17.29974937753321,54.56612100387059,0.47777399520945363,2023,17.777523372742664
CAN,102.1602882297225,102.1602882297225,0.0,2023,102.1602882297225
CHE,33.35074842640076,33.35074842640076,0.0,2023,33.35074842640076
CHL,25.34271074799886,25.34271074799886,0.0,2023,25.34271074799886
CHN,31.05148215507296,82.06729179535098,0.6540488415420259,2023,31.705530996614986
COL,11.746604967449606,35.80913824901166,0.30849401643028274,2023,12.055098983879889
CYP,25.055436817837315,25.055436817837315,0.0,2023,25.055436817837315
CZE,44.24216679915524,44.24216679915524,0.0,2023,44.24216679915524
DEU,40.97748690734608,40.97748690734608,0.0,2023,40.97748690734608
DNK,32.1979252367478,32.1979252367478,0.0,2023,32.1979252367478
DZA,15.252127567674703,64.84151244953811,0.6357613446392745,2023,15.887888912313977
ECU,12.150252133214822,53.2670898945975,0.5271389456587523,2023,12.677391078873574
EGY,9.960061736315351,37.1003136174952,0.3479519471946135,2023,10.308013683509964
ESP,33.61533313318038,33.61533313318038,0.0,2023,33.61533313318038
EST,46.50493340432046,46.50493340432046,0.0,2023,46.50493340432046
FIN,58.96615229845878,58.96615229845878,0.0,2023,58.96615229845878
FRA,36.05179358885938,36.05179358885938,0.0,2023,36.05179358885938
GBR,30.09788523476273,30.09788523476273,0.0,2023,30.09788523476273
GRC,30.41034866635641,30.41034866635641,0.0,2023,30.41034866635641
HKG,29.152297203915413,29.152297203915413,0.0,2023,29.152297203915413
HRV,23.46819097313328,23.46819097313328,0.0,2023,23.46819097313328
HUN,26.660480776779483,26.660480776779483,0.0,2023,26.660480776779483
IDN,9.85445424640931,37.804322609308656,0.35833164567819675,2023,10.212785892087506
IND,7.143405873356667,47.81711813670686,0.5214578495301306,2023,7.664863722886798
IRL,37.76139605584867,37.76139605584867,0.0,2023,37.76139605584867
IRN,38.13308620147785,117.4179170893744,1.0164721908704686,2023,39.14955839234832
