Year,Population,Code
1950,0.0,ATA
1951,0.0,ATA
1952,0.0,ATA
1953,0.0,ATA
1954,0.0,ATA
1955,0.0,ATA
1956,0.0,ATA
1957,0.0,ATA
1958,0.0,ATA
1959,0.0,ATA
1960,0.0,ATA
1961,0.0,ATA
1962,0.0,ATA
1963,0.0,ATA
1964,0.0,ATA
1965,0.0,ATA
1966,0.0,ATA
1967,0.0,ATA
1968,0.0,ATA
1969,0.0,ATA
1970,0.0,ATA
1971,0.0,ATA
1972,0.0,ATA
1973,0.0,ATA
1974,0.0,ATA
1975,0.0,ATA
1976,0.0,ATA
1977,0.0,ATA
1978,0.0,ATA
1979,0.0,ATA
1980,0.0,ATA
1981,0.0,ATA
1982,0.0,ATA
1983,0.0,ATA
1984,0.0,ATA
1985,0.0,ATA
1986,0.0,ATA
1987,0.0,ATA
1988,0.0,ATA
1989,0.0,ATA
1990,0.0,ATA
1991,0.0,ATA
1992,0.0,ATA
1993,0.0,ATA
1994,0.0,ATA
1995,0.0,ATA
1996,0.0,ATA
1997,0.0,ATA
1998,0.0,ATA
1999,0.0,ATA
2000,0.0,ATA
2001,0.0,ATA
2002,0.0,ATA
2003,0.0,ATA
2004,0.0,ATA
2005,0.0,ATA
2006,0.0,ATA
2007,0.0,ATA
2008,0.0,ATA
2009,0.0,ATA
2010,0.0,ATA
2011,0.0,ATA
2012,0.0,ATA
2013,0.0,ATA
2014,0.0,ATA
2015,0.0,ATA
2016,0.0,ATA
2017,0.0,ATA
2018,0.0,ATA
2019,0.0,ATA
2020,0.0,ATA
2021,0.0,ATA
2022,0.0,ATA
2023,0.0,ATA
2024,0.0,ATA
2025,0.0,ATA
2026,0.0,ATA
2027,0.0,ATA
2028,0.0,ATA
2029,0.0,ATA
2030,0.0,ATA
2031,0.0,ATA
2032,0.0,ATA
2033,0.0,ATA
2034,0.0,ATA
2035,0.0,ATA
2036,0.0,ATA
2037,0.0,ATA
2038,0.0,ATA
2039,0.0,ATA
2040,0.0,ATA
2041,0.0,ATA
2042,0.0,ATA
2043,0.0,ATA
2044,0.0,ATA
2045,0.0,ATA
2046,0.0,ATA
2047,0.0,ATA
2048,0.0,ATA
2049,0.0,ATA
2050,0.0,ATA
2051,0.0,ATA
2052,0.0,ATA
2053,0.0,ATA
2054,0.0,ATA
2055,0.0,ATA
2056,0.0,ATA
2057,0.0,ATA
2058,0.0,ATA
2059,0.0,ATA
2060,0.0,ATA
2061,0.0,ATA
2062,0.0,ATA
2063,0.0,ATA
2064,0.0,ATA
2065,0.0,ATA
2066,0.0,ATA
2067,0.0,ATA
2068,0.0,ATA
2069,0.0,ATA
2070,0.0,ATA
2071,0.0,ATA
2072,0.0,ATA
2073,0.0,ATA
2074,0.0,ATA
2075,0.0,ATA
2076,0.0,ATA
2077,0.0,ATA
2078,0.0,ATA
2079,0.0,ATA
2080,0.0,ATA
2081,0.0,ATA
2082,0.0,ATA
2083,0.0,ATA
2084,0.0,ATA
2085,0.0,ATA
2086,0.0,ATA
2087,0.0,ATA
2088,0.0,ATA
2089,0.0,ATA
2090,0.0,ATA
2091,0.0,ATA
2092,0.0,ATA
2093,0.0,ATA
2094,0.0,ATA
2095,0.0,ATA
2096,0.0,ATA
2097,0.0,ATA
2098,0.0,ATA
2099,0.0,ATA
2100,0.0,ATA
1950,7157.632,BGR
1951,7228.7345,BGR
1952,7293.4685,BGR
1953,7362.708000000001,BGR
1954,7439.597999999999,BGR
1955,7517.9215,BGR
1956,7596.096500000001,BGR
1957,7672.058499999999,BGR
1958,7749.340499999999,BGR
1959,7820.752999999999,BGR
1960,7891.755500000001,BGR
1961,7969.341500000001,BGR
1962,8040.772000000002,BGR
1963,8108.152999999999,BGR
1964,8177.720500000001,BGR
1965,8245.071500000002,BGR
1966,8308.899500000003,BGR
1967,8369.836500000001,BGR
1968,8438.288000000002,BGR
1969,8512.918999999996,BGR
1970,8582.95,BGR
1971,8646.259499999998,BGR
1972,8700.153000000002,BGR
1973,8753.489,BGR
1974,8810.675,BGR
1975,8860.971000000001,BGR
1976,8902.474000000004,BGR
1977,8935.452500000001,BGR
1978,8958.2675,BGR
1979,8974.427,BGR
1980,8980.605999999998,BGR
1981,8978.411500000002,BGR
1982,8970.485,BGR
1983,8956.433000000003,BGR
1984,8939.490000000002,BGR
1985,8917.076500000003,BGR
1986,8892.099499999998,BGR
1987,8865.755000000001,BGR
1988,8835.815000000002,BGR
1989,8804.43,BGR
1990,8767.7775,BGR
1991,8721.660500000002,BGR
1992,8668.5405,BGR
1993,8611.535499999998,BGR
1994,8548.465999999999,BGR
1995,8477.5795,BGR
1996,8401.376000000002,BGR
1997,8318.965499999998,BGR
1998,8234.926999999998,BGR
1999,8162.300999999998,BGR
2000,8097.6915,BGR
2001,8034.8605,BGR
2002,7974.809999999999,BGR
2003,7917.739499999999,BGR
2004,7865.3165,BGR
2005,7815.221499999999,BGR
2006,7766.036000000001,BGR
2007,7719.035499999997,BGR
2008,7674.913,BGR
2009,7634.735499999999,BGR
2010,7592.2725,BGR
2011,7543.129999999998,BGR
2012,7488.343999999999,BGR
2013,7431.167500000001,BGR
2014,7372.1415,BGR
2015,7309.2535,BGR
2016,7245.974499999998,BGR
2017,7182.4285,BGR
2018,7117.430499999999,BGR
2019,7052.531999999999,BGR
2020,6979.174499999998,BGR
2021,6885.8675,BGR
2022,6781.953,BGR
2023,6687.716999999999,BGR
2024,6618.615,BGR
2025,6565.190000000001,BGR
2026,6511.162499999999,BGR
2027,6456.6055000000015,BGR
2028,6401.540999999999,BGR
2029,6346.031,BGR
2030,6290.166,BGR
2031,6234.058499999999,BGR
2032,6177.733999999999,BGR
2033,6121.235999999999,BGR
2034,6064.6425,BGR
2035,6008.012500000003,BGR
2036,5951.3985,BGR
2037,5894.951,BGR
2038,5838.741000000001,BGR
2039,5782.741499999999,BGR
2040,5727.005999999999,BGR
2041,5671.574999999999,BGR
2042,5616.467999999998,BGR
2043,5561.697000000002,BGR
2044,5507.318,BGR
2045,5453.349999999999,BGR
2046,5399.680499999999,BGR
2047,5346.268999999999,BGR
2048,5293.141500000001,BGR
2049,5240.228,BGR
2050,5187.392500000001,BGR
2051,5134.585,BGR
2052,5081.833499999997,BGR
2053,5029.132499999998,BGR
2054,4976.372000000001,BGR
2055,4923.463500000002,BGR
2056,4870.413999999999,BGR
2057,4817.169,BGR
2058,4763.6655,BGR
2059,4710.005499999999,BGR
2060,4656.313999999999,BGR
2061,4602.564499999999,BGR
2062,4548.762,BGR
2063,4494.989499999998,BGR
2064,4441.384499999999,BGR
2065,4388.024000000001,BGR
2066,4334.9985,BGR
2067,4282.458500000001,BGR
2068,4230.486,BGR
2069,4179.1515,BGR
2070,4128.486500000001,BGR
2071,4078.5215,BGR
2072,4029.3424999999993,BGR
2073,3981.020000000001,BGR
2074,3933.579999999999,BGR
2075,3887.0605,BGR
2076,3841.517,BGR
2077,3796.8995,BGR
2078,3753.1480000000006,BGR
2079,3710.301,BGR
2080,3668.351500000001,BGR
2081,3627.2825,BGR
2082,3587.0755,BGR
2083,3547.703,BGR
2084,3509.157,BGR
2085,3471.3645000000006,BGR
2086,3434.2985000000003,BGR
2087,3397.9600000000005,BGR
2088,3362.2105,BGR
2089,3326.885500000001,BGR
2090,3291.9134999999987,BGR
2091,3257.181500000001,BGR
2092,3222.523,BGR
2093,3187.8975,BGR
2094,3153.3004999999994,BGR
2095,3118.6375,BGR
2096,3083.8654999999994,BGR
2097,3048.9630000000006,BGR
2098,3013.885,BGR
2099,2978.7114999999994,BGR
2100,2943.542,BGR
1950,17731.817499999997,MMR
1951,18053.722500000007,MMR
1952,18391.994999999995,MMR
1953,18749.629500000006,MMR
1954,19126.424499999997,MMR
1955,19522.78850000001,MMR
1956,19935.5135,MMR
1957,20363.5095,MMR
1958,20801.17000000001,MMR
1959,21252.0425,MMR
1960,21720.697,MMR
1961,22203.109,MMR
1962,22699.70300000001,MMR
1963,23210.68699999999,MMR
1964,23737.818,MMR
1965,24286.878,MMR
1966,24854.7045,MMR
1967,25440.028500000004,MMR
1968,26044.1115,MMR
1969,26659.4785,MMR
1970,27284.112500000003,MMR
1971,27914.953499999992,MMR
1972,28551.9495,MMR
1973,29165.356000000007,MMR
1974,29751.936,MMR
1975,30344.27600000001,MMR
1976,30941.374500000005,MMR
1977,31554.598000000005,MMR
1978,32185.600999999995,MMR
1979,32821.779500000004,MMR
1980,33465.780999999995,MMR
1981,34110.09750000001,MMR
1982,34742.58649999999,MMR
1983,35424.26149999999,MMR
1984,36159.8385,MMR
1985,36881.01949999998,MMR
1986,37572.340499999984,MMR
1987,38233.17149999999,MMR
1988,38868.27049999999,MMR
1989,39489.41899999999,MMR
1990,40099.55300000001,MMR
1991,40680.533,MMR
1992,41237.813,MMR
1993,41788.30149999999,MMR
1994,42337.10950000003,MMR
1995,42880.186000000016,MMR
1996,43423.369,MMR
1997,43972.04550000001,MMR
1998,44516.18500000002,MMR
1999,45041.636,MMR
2000,45538.332,MMR
2001,46014.82599999999,MMR
2002,46480.23000000001,MMR
2003,46924.293000000005,MMR
2004,47338.44600000001,MMR
2005,47724.47149999999,MMR
2006,48088.27450000001,MMR
2007,48445.6465,MMR
2008,48729.486,MMR
2009,49015.83649999999,MMR
2010,49390.988,MMR
2011,49794.5215,MMR
2012,50218.185000000005,MMR
2013,50648.33349999998,MMR
2014,51072.43600000001,MMR
2015,51483.949,MMR
2016,51892.34849999999,MMR
2017,52288.34100000002,MMR
2018,52666.014,MMR
2019,53040.21199999999,MMR
2020,53423.198000000026,MMR
2021,53798.0845,MMR
2022,54179.30600000001,MMR
2023,54577.997,MMR
2024,54964.69400000002,MMR
2025,55336.7835,MMR
2026,55695.98649999999,MMR
2027,56041.605500000005,MMR
2028,56372.00800000001,MMR
2029,56687.802,MMR
2030,56987.62499999999,MMR
2031,57270.951,MMR
2032,57538.458000000006,MMR
2033,57790.9765,MMR
2034,58027.2545,MMR
2035,58247.49049999998,MMR
2036,58454.92950000002,MMR
2037,58646.780000000006,MMR
2038,58823.107,MMR
2039,58985.8105,MMR
2040,59133.81600000001,MMR
2041,59267.28250000001,MMR
2042,59387.60550000003,MMR
2043,59496.6655,MMR
2044,59595.599,MMR
2045,59682.76,MMR
2046,59755.787500000006,MMR
2047,59817.1375,MMR
2048,59867.4905,MMR
2049,59904.14599999999,MMR
2050,59929.39849999999,MMR
2051,59944.501,MMR
2052,59947.164,MMR
2053,59939.8285,MMR
2054,59923.00849999999,MMR
2055,59894.20200000001,MMR
2056,59854.55,MMR
2057,59806.39949999999,MMR
2058,59748.61199999999,MMR
2059,59681.022,MMR
2060,59606.138,MMR
2061,59523.7625,MMR
2062,59432.27750000001,MMR
2063,59330.746,MMR
2064,59221.3315,MMR
2065,59105.226,MMR
2066,58983.1105,MMR
2067,58855.89649999998,MMR
2068,58721.607,MMR
2069,58579.435,MMR
2070,58432.662,MMR
2071,58281.71000000002,MMR
2072,58125.6265,MMR
2073,57965.2995,MMR
2074,57799.74750000001,MMR
2075,57629.59300000001,MMR
2076,57455.6565,MMR
2077,57277.779999999984,MMR
2078,57095.381000000016,MMR
2079,56909.23800000002,MMR
2080,56721.47150000001,MMR
2081,56531.503500000006,MMR
2082,56337.969,MMR
2083,56141.86600000001,MMR
2084,55943.998,MMR
2085,55742.7325,MMR
2086,55536.4295,MMR
2087,55327.17350000001,MMR
2088,55115.72450000002,MMR
2089,54901.61099999999,MMR
2090,54685.75449999999,MMR
2091,54467.6095,MMR
2092,54247.27099999999,MMR
2093,54024.87199999999,MMR
2094,53800.55899999999,MMR
2095,53574.391,MMR
2096,53346.96649999999,MMR
2097,53117.011500000015,MMR
2098,52884.876500000006,MMR
2099,52651.918500000014,MMR
2100,52417.6865,MMR
1950,2254.112500000001,BDI
1951,2303.247999999999,BDI
1952,2351.5355,BDI
1953,2399.0995000000007,BDI
1954,2446.7575000000006,BDI
1955,2495.193000000001,BDI
1956,2544.2580000000003,BDI
1957,2593.840000000001,BDI
1958,2643.1535,BDI
1959,2693.642,BDI
1960,2746.6275,BDI
1961,2815.9725,BDI
1962,2887.3985,BDI
1963,2948.132500000002,BDI
1964,3033.220999999999,BDI
1965,3118.1339999999987,BDI
1966,3193.378500000001,BDI
1967,3274.493000000001,BDI
1968,3352.3969999999995,BDI
1969,3424.4290000000005,BDI
1970,3497.8345,BDI
1971,3582.0705000000007,BDI
1972,3579.1945000000005,BDI
1973,3571.4500000000007,BDI
1974,3660.032000000001,BDI
1975,3749.232000000001,BDI
1976,3830.889000000001,BDI
1977,3927.428,BDI
1978,4039.409500000001,BDI
1979,4137.437000000002,BDI
1980,4312.834500000003,BDI
1981,4490.7435,BDI
1982,4602.271500000002,BDI
1983,4726.505500000001,BDI
1984,4842.267999999998,BDI
1985,4948.024000000001,BDI
1986,5041.705500000002,BDI
1987,5157.768500000002,BDI
1988,5271.839500000001,BDI
1989,5373.697000000003,BDI
1990,5483.793500000001,BDI
1991,5594.8285000000005,BDI
1992,5743.085000000001,BDI
1993,5555.22,BDI
1994,5586.408499999999,BDI
1995,5932.782999999999,BDI
1996,5930.506500000001,BDI
1997,5923.862000000002,BDI
1998,6035.34,BDI
1999,6180.18,BDI
2000,6307.659499999999,BDI
2001,6465.729,BDI
2002,6648.937999999998,BDI
2003,6860.8460000000005,BDI
2004,7120.496000000002,BDI
2005,7388.8745,BDI
2006,7658.189500000002,BDI
2007,7944.6095,BDI
2008,8278.108999999999,BDI
2009,8709.366000000005,BDI
2010,9126.6055,BDI
2011,9455.732999999998,BDI
2012,9795.479000000005,BDI
2013,10149.577499999998,BDI
2014,10494.9125,BDI
2015,10727.148499999998,BDI
2016,10903.3275,BDI
2017,11155.592999999995,BDI
2018,11493.472499999998,BDI
2019,11874.838,BDI
2020,12220.226500000002,BDI
2021,12551.212999999998,BDI
2022,12889.576499999996,BDI
2023,13238.559,BDI
2024,13591.6575,BDI
2025,13948.14,BDI
2026,14307.8155,BDI
2027,14673.012000000004,BDI
2028,15043.647,BDI
2029,15419.301999999998,BDI
2030,15800.53,BDI
2031,16187.388,BDI
2032,16580.035,BDI
2033,16979.7595,BDI
2034,17386.442499999994,BDI
2035,17799.740000000005,BDI
2036,18217.323999999997,BDI
2037,18639.032499999998,BDI
2038,19066.0585,BDI
2039,19496.105,BDI
2040,19928.150999999994,BDI
2041,20361.593499999995,BDI
2042,20794.876499999995,BDI
2043,21227.305,BDI
2044,21659.443500000005,BDI
2045,22090.717,BDI
2046,22521.094,BDI
2047,22949.6365,BDI
2048,23374.03350000001,BDI
2049,23793.823,BDI
2050,24208.6705,BDI
2051,24618.374,BDI
2052,25025.7195,BDI
2053,25430.8555,BDI
2054,25832.093000000004,BDI
2055,26228.499000000003,BDI
2056,26621.889500000005,BDI
2057,27012.1985,BDI
2058,27397.595,BDI
2059,27778.9425,BDI
2060,28157.36199999999,BDI
2061,28532.616999999995,BDI
2062,28905.042000000005,BDI
2063,29276.644000000004,BDI
2064,29648.035000000003,BDI
2065,30018.379000000004,BDI
2066,30386.200999999997,BDI
2067,30752.351500000004,BDI
2068,31116.8225,BDI
2069,31476.578500000007,BDI
2070,31830.631000000005,BDI
2071,32179.905999999995,BDI
2072,32522.741500000007,BDI
2073,32860.446,BDI
2074,33194.0555,BDI
2075,33522.34200000001,BDI
2076,33843.627,BDI
2077,34157.13049999999,BDI
2078,34464.49449999999,BDI
2079,34764.73,BDI
2080,35058.272000000004,BDI
2081,35345.5925,BDI
2082,35624.774,BDI
2083,35895.828,BDI
2084,36158.6085,BDI
2085,36412.71949999999,BDI
2086,36657.92900000001,BDI
2087,36895.448,BDI
2088,37126.0615,BDI
2089,37348.3215,BDI
2090,37562.75650000001,BDI
2091,37770.02749999998,BDI
2092,37971.374,BDI
2093,38167.025,BDI
2094,38357.05449999999,BDI
2095,38541.282500000016,BDI
2096,38719.908500000005,BDI
2097,38893.7685,BDI
2098,39063.35499999999,BDI
2099,39228.49749999999,BDI
2100,39388.4665,BDI
1950,7906.860499999999,BLR
1951,7879.084999999997,BLR
1952,7875.527,BLR
1953,7893.237000000001,BLR
1954,7927.6745,BLR
1955,7976.356000000002,BLR
1956,8037.361999999999,BLR
1957,8109.539500000002,BLR
1958,8194.565,BLR
1959,8288.637999999997,BLR
1960,8389.1825,BLR
1961,8495.745499999999,BLR
1962,8599.858499999998,BLR
1963,8694.985999999997,BLR
1964,8779.743499999999,BLR
1965,8854.528000000002,BLR
1966,8921.795499999997,BLR
1967,8985.772500000001,BLR
1968,9047.8015,BLR
1969,9108.450499999995,BLR
1970,9170.786000000002,BLR
1971,9236.7665,BLR
1972,9303.9395,BLR
1973,9369.573500000002,BLR
1974,9435.592,BLR
1975,9500.737999999998,BLR
1976,9564.3765,BLR
1977,9628.875,BLR
1978,9693.316000000004,BLR
1979,9756.248499999996,BLR
1980,9817.257000000003,BLR
1981,9877.1205,BLR
1982,9938.9305,BLR
1983,10004.048499999995,BLR
1984,10069.348500000002,BLR
1985,10133.211,BLR
1986,10201.669999999998,BLR
1987,10270.609,BLR
1988,10333.48,BLR
1989,10387.610000000002,BLR
1990,10428.525,BLR
1991,10457.616500000004,BLR
1992,10475.9075,BLR
1993,10480.483499999991,BLR
1994,10475.394499999997,BLR
1995,10461.695999999998,BLR
1996,10436.459,BLR
1997,10400.923499999995,BLR
1998,10357.466000000002,BLR
1999,10308.283000000005,BLR
2000,10256.482499999996,BLR
2001,10201.2085,BLR
2002,10135.387500000004,BLR
2003,10065.878,BLR
2004,9999.7125,BLR
2005,9935.162999999997,BLR
2006,9874.6995,BLR
2007,9825.986000000004,BLR
2008,9787.826,BLR
2009,9757.707499999997,BLR
2010,9731.427,BLR
2011,9706.9815,BLR
2012,9693.748999999996,BLR
2013,9691.136500000004,BLR
2014,9693.7395,BLR
2015,9700.609000000002,BLR
2016,9708.11,BLR
2017,9707.876,BLR
2018,9695.573500000002,BLR
2019,9673.971,BLR
2020,9633.7405,BLR
2021,9578.1675,BLR
2022,9534.954499999998,BLR
2023,9498.238,BLR
2024,9455.036499999997,BLR
2025,9412.5395,BLR
2026,9371.048,BLR
2027,9330.247,BLR
2028,9289.331000000002,BLR
2029,9247.954,BLR
2030,9206.17,BLR
2031,9164.134999999998,BLR
2032,9121.858000000004,BLR
2033,9079.65,BLR
2034,9037.5895,BLR
2035,8995.945000000002,BLR
2036,8954.814,BLR
2037,8914.125499999996,BLR
2038,8874.162999999997,BLR
2039,8834.814999999997,BLR
2040,8796.015,BLR
2041,8757.816000000003,BLR
2042,8720.055,BLR
2043,8682.459499999999,BLR
2044,8644.973500000002,BLR
2045,8607.465,BLR
2046,8569.633999999996,BLR
2047,8531.2945,BLR
2048,8491.914499999999,BLR
2049,8451.272500000001,BLR
2050,8409.632000000003,BLR
2051,8366.981499999996,BLR
2052,8323.3725,BLR
2053,8278.8555,BLR
2054,8233.498500000002,BLR
2055,8187.447499999998,BLR
2056,8140.968000000003,BLR
2057,8094.181000000001,BLR
2058,8046.995999999997,BLR
2059,7999.418,BLR
2060,7951.637,BLR
2061,7903.905000000002,BLR
2062,7856.2565,BLR
2063,7808.673999999999,BLR
2064,7761.2215,BLR
2065,7714.158999999999,BLR
2066,7667.7024999999985,BLR
2067,7621.641000000001,BLR
2068,7575.932499999999,BLR
2069,7530.9155,BLR
2070,7486.679999999999,BLR
2071,7443.129000000001,BLR
2072,7400.312999999999,BLR
2073,7358.1770000000015,BLR
2074,7316.722999999997,BLR
2075,7276.134499999999,BLR
2076,7236.356,BLR
2077,7197.406,BLR
2078,7159.319000000001,BLR
2079,7121.970999999999,BLR
2080,7085.431999999997,BLR
2081,7049.711499999999,BLR
2082,7014.774499999998,BLR
2083,6980.612499999999,BLR
2084,6947.174000000001,BLR
2085,6914.310000000002,BLR
2086,6881.96,BLR
2087,6850.2675,BLR
2088,6819.2735,BLR
2089,6788.729999999998,BLR
2090,6758.532999999999,BLR
2091,6728.857499999999,BLR
2092,6699.514499999998,BLR
2093,6670.444,BLR
2094,6641.625499999999,BLR
2095,6612.917999999999,BLR
2096,6584.304499999999,BLR
2097,6555.641999999997,BLR
2098,6526.888500000002,BLR
2099,6498.142999999999,BLR
2100,6469.456999999998,BLR
1950,4380.379499999998,KHM
1951,4485.390499999999,KHM
1952,4592.875000000001,KHM
1953,4702.0610000000015,KHM
1954,4814.378,KHM
1955,4931.223499999998,KHM
1956,5051.840499999998,KHM
1957,5175.949000000002,KHM
1958,5298.409500000001,KHM
1959,5419.152000000001,KHM
1960,5541.676,KHM
1961,5664.6545000000015,KHM
1962,5788.854000000002,KHM
1963,5913.679500000002,KHM
1964,6040.8475,KHM
1965,6170.7275,KHM
1966,6299.230000000003,KHM
1967,6426.445499999999,KHM
1968,6553.1095000000005,KHM
1969,6679.708000000002,KHM
1970,6708.525000000001,KHM
1971,6696.324000000002,KHM
1972,6766.289499999999,KHM
1973,6852.3605,KHM
1974,6913.4085,KHM
1975,6727.922499999999,KHM
1976,6307.121499999999,KHM
1977,6040.196500000002,KHM
1978,5961.1925,KHM
1979,6051.808000000001,KHM
1980,6198.9595,KHM
1981,6364.4725,KHM
1982,6619.699499999998,KHM
1983,6881.962500000001,KHM
1984,7133.899,KHM
1985,7376.089499999999,KHM
1986,7661.317000000001,KHM
1987,7975.597500000003,KHM
1988,8269.779499999997,KHM
1989,8570.928000000004,KHM
1990,8910.807999999999,KHM
1991,9259.3615,KHM
1992,9718.214999999998,KHM
1993,10243.550500000005,KHM
1994,10636.352999999996,KHM
1995,10919.527999999998,KHM
1996,11182.6125,KHM
1997,11431.569000000003,KHM
1998,11669.077000000005,KHM
1999,11899.0065,KHM
2000,12118.841,KHM
2001,12338.192,KHM
2002,12561.778499999997,KHM
2003,12787.710500000005,KHM
2004,13016.3705,KHM
2005,13246.583,KHM
2006,13477.779000000002,KHM
2007,13714.790999999996,KHM
2008,13943.8885,KHM
2009,14155.740500000004,KHM
2010,14363.532,KHM
2011,14573.884499999996,KHM
2012,14786.640500000003,KHM
2013,14999.683,KHM
2014,15210.8165,KHM
2015,15417.523,KHM
2016,15624.5835,KHM
2017,15830.688500000002,KHM
2018,16025.2385,KHM
2019,16207.746,KHM
2020,16396.86049999999,KHM
2021,16589.023499999996,KHM
2022,16767.842499999995,KHM
2023,16944.826,KHM
2024,17121.8475,KHM
2025,17293.53150000001,KHM
2026,17460.074,KHM
2027,17621.658499999998,KHM
2028,17779.073999999997,KHM
2029,17933.4855,KHM
2030,18084.247499999998,KHM
2031,18231.391000000007,KHM
2032,18375.2485,KHM
2033,18515.538499999995,KHM
2034,18652.904,KHM
2035,18787.212500000005,KHM
2036,18917.4345,KHM
2037,19043.897,KHM
2038,19166.243,KHM
2039,19283.6105,KHM
2040,19396.430999999997,KHM
2041,19504.7745,KHM
2042,19608.51200000001,KHM
2043,19707.547,KHM
2044,19801.361,KHM
2045,19889.964499999995,KHM
2046,19973.587,KHM
2047,20052.513000000003,KHM
2048,20126.27500000001,KHM
2049,20194.54950000001,KHM
2050,20258.435500000007,KHM
2051,20318.2325,KHM
2052,20373.952,KHM
2053,20426.043,KHM
2054,20474.594,KHM
2055,20519.579000000005,KHM
2056,20561.1265,KHM
2057,20599.180000000008,KHM
2058,20633.986,KHM
2059,20665.5815,KHM
2060,20693.6135,KHM
2061,20718.219,KHM
2062,20739.275,KHM
2063,20756.715,KHM
2064,20770.029500000004,KHM
2065,20779.347499999996,KHM
2066,20784.999,KHM
2067,20786.76950000001,KHM
2068,20783.9945,KHM
2069,20776.457999999995,KHM
2070,20764.507,KHM
2071,20748.383,KHM
2072,20727.968,KHM
2073,20703.641,KHM
2074,20676.149,KHM
2075,20644.895000000004,KHM
2076,20610.184500000007,KHM
2077,20572.3385,KHM
2078,20531.2195,KHM
2079,20487.443500000005,KHM
2080,20441.2025,KHM
2081,20392.854500000005,KHM
2082,20342.994,KHM
2083,20291.330499999996,KHM
2084,20237.989500000003,KHM
2085,20182.866500000004,KHM
2086,20126.1885,KHM
2087,20068.054,KHM
2088,20008.08,KHM
2089,19946.33800000001,KHM
2090,19882.281,KHM
2091,19816.0565,KHM
2092,19747.861,KHM
2093,19677.205500000004,KHM
2094,19604.327,KHM
2095,19529.261500000008,KHM
2096,19451.7435,KHM
2097,19371.843500000003,KHM
2098,19289.5075,KHM
2099,19205.030999999995,KHM
2100,19118.804,KHM
1950,9019.866,DZA
1951,9271.733499999997,DZA
1952,9521.7025,DZA
1953,9771.685999999998,DZA
1954,10011.540999999996,DZA
1955,10242.2875,DZA
1956,10473.167999999998,DZA
1957,10703.2505,DZA
1958,10933.783999999998,DZA
1959,11164.4435,DZA
1960,11394.307,DZA
1961,11598.608,DZA
1962,11778.259999999997,DZA
1963,11969.450499999995,DZA
1964,12179.098500000002,DZA
1965,12381.256,DZA
1966,12613.388999999996,DZA
1967,12897.1155,DZA
1968,13190.975000000002,DZA
1969,13491.016,DZA
1970,13795.915000000005,DZA
1971,14110.271000000002,DZA
1972,14439.7485,DZA
1973,14786.4685,DZA
1974,15153.6015,DZA
1975,15724.6915,DZA
1976,16500.516,DZA
1977,17134.191499999994,DZA
1978,17632.645000000008,DZA
1979,18166.98100000001,DZA
1980,18739.37849999999,DZA
1981,19351.3565,DZA
1982,20000.0965,DZA
1983,20682.11100000001,DZA
1984,21393.53,DZA
1985,22132.905,DZA
1986,22882.552500000005,DZA
1987,23586.10049999999,DZA
1988,24243.0185,DZA
1989,24889.50700000001,DZA
1990,25518.074,DZA
1991,26133.905,DZA
1992,26748.3025,DZA
1993,27354.327500000007,DZA
1994,27937.006000000005,DZA
1995,28478.022000000008,DZA
1996,28984.63400000001,DZA
1997,29476.03099999999,DZA
1998,29924.668500000007,DZA
1999,30346.082500000004,DZA
2000,30774.62099999999,DZA
2001,31200.98549999999,DZA
2002,31624.695500000005,DZA
2003,32055.8835,DZA
2004,32510.186,DZA
2005,32956.6905,DZA
2006,33435.08050000001,DZA
2007,33983.827499999985,DZA
2008,34569.59150000001,DZA
2009,35196.0365,DZA
2010,35856.343499999995,DZA
2011,36543.54149999999,DZA
2012,37260.5625,DZA
2013,38000.6265,DZA
2014,38760.1675,DZA
2015,39543.15450000001,DZA
2016,40339.3285,DZA
2017,41136.54599999999,DZA
2018,41927.00700000002,DZA
2019,42705.36850000001,DZA
2020,43451.66600000001,DZA
2021,44177.96849999998,DZA
2022,44903.225000000006,DZA
2023,45606.4805,DZA
2024,46278.75150000001,DZA
2025,46922.03049999999,DZA
2026,47538.087,DZA
2027,48130.008,DZA
2028,48700.2345,DZA
2029,49251.258,DZA
2030,49787.28299999998,DZA
2031,50311.56,DZA
2032,50826.98100000001,DZA
2033,51336.84550000001,DZA
2034,51845.0035,DZA
2035,52352.5195,DZA
2036,52860.87900000001,DZA
2037,53371.37099999999,DZA
2038,53883.76900000001,DZA
2039,54398.757,DZA
2040,54917.43649999999,DZA
2041,55440.6585,DZA
2042,55965.05950000001,DZA
2043,56488.9865,DZA
2044,57012.29149999999,DZA
2045,57533.65799999999,DZA
2046,58050.5065,DZA
2047,58559.19799999999,DZA
2048,59055.4005,DZA
2049,59535.7125,DZA
2050,60001.1135,DZA
2051,60448.55699999999,DZA
2052,60876.33100000002,DZA
2053,61284.2265,DZA
2054,61669.728,DZA
2055,62034.9025,DZA
2056,62380.475500000015,DZA
2057,62705.24999999998,DZA
2058,63008.27,DZA
2059,63290.06749999999,DZA
2060,63553.71800000001,DZA
2061,63800.40700000001,DZA
2062,64030.745500000005,DZA
2063,64246.48149999999,DZA
2064,64450.331000000006,DZA
2065,64644.68849999998,DZA
2066,64829.89650000002,DZA
2067,65007.1495,DZA
2068,65177.49900000001,DZA
2069,65342.35550000001,DZA
2070,65502.93849999998,DZA
2071,65658.479,DZA
2072,65809.57,DZA
2073,65956.72249999999,DZA
