Code,Year,Population
162,1950,0
162,1951,0
162,1952,0
162,1953,0
162,1954,0
162,1955,0
162,1956,0
162,1957,0
162,1958,0
162,1959,0
162,1960,0
162,1961,0
162,1962,0
162,1963,0
162,1964,0
162,1965,0
162,1966,0
162,1967,0
162,1968,0
162,1969,0
162,1970,0
162,1971,0
162,1972,0
162,1973,0
162,1974,0
162,1975,0
162,1976,0
162,1977,0
162,1978,0
162,1979,0
162,1980,0
162,1981,0
162,1982,0
162,1983,0
162,1984,0
162,1985,0
162,1986,0
162,1987,0
162,1988,0
162,1989,0
162,1990,0
162,1991,0
162,1992,0
162,1993,0
162,1994,0
162,1995,0
162,1996,0
162,1997,0
162,1998,0
162,1999,0
162,2000,0
162,2001,0
162,2002,0
162,2003,0
162,2004,0
162,2005,0
162,2006,0
162,2007,0
162,2008,0
162,2009,0
162,2010,0
162,2011,0
162,2012,0
162,2013,0
162,2014,0
162,2015,0
162,2016,0
162,2017,0
162,2018,0
162,2019,0
162,2020,0
162,2021,0
162,2022,0
162,2023,0
162,2024,0
162,2025,0
162,2026,0
162,2027,0
162,2028,0
162,2029,0
162,2030,0
162,2031,0
162,2032,0
162,2033,0
162,2034,0
162,2035,0
162,2036,0
162,2037,0
162,2038,0
162,2039,0
162,2040,0
162,2041,0
162,2042,0
162,2043,0
162,2044,0
162,2045,0
162,2046,0
162,2047,0
162,2048,0
162,2049,0
162,2050,0
162,2051,0
162,2052,0
162,2053,0
162,2054,0
162,2055,0
162,2056,0
162,2057,0
162,2058,0
162,2059,0
162,2060,0
162,2061,0
162,2062,0
162,2063,0
162,2064,0
162,2065,0
162,2066,0
162,2067,0
162,2068,0
162,2069,0
162,2070,0
162,2071,0
162,2072,0
162,2073,0
162,2074,0
162,2075,0
162,2076,0
162,2077,0
162,2078,0
162,2079,0
162,2080,0
162,2081,0
162,2082,0
162,2083,0
162,2084,0
162,2085,0
162,2086,0
162,2087,0
162,2088,0
162,2089,0
162,2090,0
162,2091,0
162,2092,0
162,2093,0
162,2094,0
162,2095,0
162,2096,0
162,2097,0
162,2098,0
162,2099,0
162,2100,0
