Code,Year,Population
398,1950,6655.675000000002
398,1951,6887.969500000002
398,1952,7124.071499999997
398,1953,7362.289500000002
398,1954,7605.9445
398,1955,7858.7325
398,1956,8124.175
398,1957,8405.659500000002
398,1958,8698.748500000002
398,1959,9003.391000000003
398,1960,9319.283000000003
398,1961,9639.301999999998
398,1962,9959.414000000002
398,1963,10277.789499999999
398,1964,10590.934499999998
398,1965,10897.643500000002
398,1966,11197.568000000001
398,1967,11491.227499999999
398,1968,11777.848499999998
398,1969,12042.477499999999
398,1970,12265.304500000004
398,1971,12444.338
398,1972,12611.997
398,1973,12789.984499999999
398,1974,12972.4975
398,1975,13158.9425
398,1976,13346.172999999999
398,1977,13543.520499999999
398,1978,13750.291500000003
398,1979,13957.795000000002
398,1980,14172.7105
398,1981,14397.390999999992
398,1982,14634.179
398,1983,14885.965999999999
398,1984,15147.589500000002
398,1985,15413.314499999995
398,1986,15721.288500000004
398,1987,16072.4775
398,1988,16430.589999999997
398,1989,16704.992500000004
398,1990,16866.563000000002
398,1991,16993.792
398,1992,17043.416999999998
398,1993,16979.696999999993
398,1994,16747.151
398,1995,16434.324000000008
398,1996,16144.247500000001
398,1997,15820.431499999999
398,1998,15474.254500000003
398,1999,15256.254999999997
398,2000,15236.252499999999
398,2001,15281.285000000005
398,2002,15338.963
398,2003,15416.711999999998
398,2004,15521.9225
398,2005,15656.2485
398,2006,15822.748000000001
398,2007,16006.135500000004
398,2008,16196.517000000002
398,2009,16402.3685
398,2010,16627.836500000005
398,2011,16864.917500000003
398,2012,17102.864499999996
398,2013,17345.731500000005
398,2014,17592.297499999997
398,2015,17835.908499999998
398,2016,18078.552499999994
398,2017,18314.814
398,2018,18538.099000000002
398,2019,18754.257999999998
398,2020,18979.243000000006
398,2021,19196.465500000006
398,2022,19397.998000000007
398,2023,19606.6335
398,2024,19828.165
398,2025,20055.8535
398,2026,20277.784
398,2027,20494.583500000004
398,2028,20707.3765
398,2029,20918.059
398,2030,21128.221499999992
398,2031,21337.8065
398,2032,21547.474499999997
398,2033,21758.122999999996
398,2034,21970.103499999997
398,2035,22183.607000000007
398,2036,22398.845999999998
398,2037,22616.594500000007
398,2038,22836.867500000004
398,2039,23059.675999999996
398,2040,23285.398499999996
398,2041,23514.590500000002
398,2042,23746.703000000005
398,2043,23981.451999999994
398,2044,24217.947999999993
398,2045,24453.953
398,2046,24688.978000000003
398,2047,24922.400500000007
398,2048,25153.482999999997
398,2049,25383.062999999995
398,2050,25609.978
398,2051,25833.843499999995
398,2052,26054.493500000004
398,2053,26271.5895
398,2054,26486.5115
398,2055,26698.831500000004
398,2056,26908.05250000001
398,2057,27114.447500000006
398,2058,27317.473000000005
398,2059,27516.6165
398,2060,27712.624499999994
398,2061,27906.297000000002
398,2062,28097.819000000007
398,2063,28287.330499999996
398,2064,28474.3525
398,2065,28659.258500000004
398,2066,28842.909999999993
398,2067,29025.232000000007
398,2068,29207.857999999997
398,2069,29390.48850000001
398,2070,29572.7465
398,2071,29755.339000000004
398,2072,29938.176000000003
398,2073,30121.540999999997
398,2074,30304.621
398,2075,30487.317
398,2076,30668.943499999998
398,2077,30849.603000000003
398,2078,31029.234
398,2079,31206.711499999998
398,2080,31383.135000000002
398,2081,31558.84799999999
398,2082,31731.943000000003
398,2083,31901.667499999992
398,2084,32069.262
398,2085,32233.795499999993
398,2086,32394.874499999998
398,2087,32552.4595
398,2088,32704.709000000006
398,2089,32851.321
398,2090,32992.3455
398,2091,33127.3985
398,2092,33256.2105
398,2093,33380.03399999999
398,2094,33498.70399999998
398,2095,33611.4085
398,2096,33719.10999999999
398,2097,33821.098
398,2098,33916.99399999999
398,2099,34007.853500000005
398,2100,34093.330500000004
