Code,Year,Population
528,1950,10093.553999999996
528,1951,10226.295000000004
528,1952,10361.805
528,1953,10497.290500000001
528,1954,10631.382999999996
528,1955,10767.905499999997
528,1956,10905.345
528,1957,11046.130500000001
528,1958,11191.751999999999
528,1959,11341.765499999996
528,1960,11493.116500000002
528,1961,11647.366499999995
528,1962,11803.4575
528,1963,11958.4145
528,1964,12117.828999999998
528,1965,12275.791500000005
528,1966,12426.786999999998
528,1967,12576.967
528,1968,12727.199499999993
528,1969,12881.249499999994
528,1970,13037.686499999998
528,1971,13186.712
528,1972,13324.176500000001
528,1973,13447.570499999996
528,1974,13560.532000000003
528,1975,13663.968500000003
528,1976,13760.112499999997
528,1977,13855.5655
528,1978,13949.408
528,1979,14040.2865
528,1980,14130.387000000004
528,1981,14217.318
528,1982,14296.533499999996
528,1983,14369.6465
528,1984,14441.9275
528,1985,14515.703999999998
528,1986,14592.5305
528,1987,14675.300999999998
528,1988,14762.318500000001
528,1989,14850.225000000002
528,1990,14944.548
528,1991,15046.584000000003
528,1992,15150.685000000001
528,1993,15251.086
528,1994,15349.478500000003
528,1995,15446.668500000002
528,1996,15538.615999999998
528,1997,15629.905000000004
528,1998,15722.594500000001
528,1999,15812.486499999997
528,2000,15899.135
528,2001,15981.636
528,2002,16057.040500000001
528,2003,16127.579
528,2004,16196.035499999996
528,2005,16261.830999999998
528,2006,16325.677
528,2007,16391.232500000002
528,2008,16460.769999999997
528,2009,16536.2075
528,2010,16617.117000000002
528,2011,16701.472000000005
528,2012,16785.298999999995
528,2013,16867.351999999995
528,2014,16954.081
528,2015,17041.107500000002
528,2016,17124.504999999997
528,2017,17207.198000000004
528,2018,17286.042499999996
528,2019,17363.261500000004
528,2020,17434.5575
528,2021,17501.6955
528,2022,17564.014
528,2023,17618.2985
528,2024,17671.125000000004
528,2025,17722.333000000006
528,2026,17771.603999999996
528,2027,17818.838999999993
528,2028,17863.75
528,2029,17905.449
528,2030,17943.802499999998
528,2031,17978.614
528,2032,18009.470999999994
528,2033,18036.007499999996
528,2034,18058.19
528,2035,18075.641500000012
528,2036,18088.2575
528,2037,18096.419
528,2038,18100.103500000005
528,2039,18100.066499999997
528,2040,18096.391499999998
528,2041,18088.839500000002
528,2042,18078.167000000005
528,2043,18064.3325
528,2044,18046.9765
528,2045,18027.0485
528,2046,18004.933000000005
528,2047,17980.4695
528,2048,17954.1065
528,2049,17926.27699999999
528,2050,17897.025499999996
528,2051,17866.601000000002
528,2052,17835.289499999995
528,2053,17803.714500000002
528,2054,17772.583499999997
528,2055,17741.957
528,2056,17711.920499999997
528,2057,17682.685999999998
528,2058,17654.373
528,2059,17627.110999999994
528,2060,17601.169999999995
528,2061,17576.645500000002
528,2062,17553.7865
528,2063,17532.397
528,2064,17512.496000000006
528,2065,17493.976499999997
528,2066,17476.308
528,2067,17459.711000000003
528,2068,17443.958500000004
528,2069,17428.919499999996
528,2070,17414.15599999999
528,2071,17398.982500000002
528,2072,17383.313000000002
528,2073,17366.744499999993
528,2074,17348.899499999996
528,2075,17329.57
528,2076,17308.827000000005
528,2077,17286.233999999993
528,2078,17261.5135
528,2079,17235.0245
528,2080,17206.930500000006
528,2081,17177.342499999995
528,2082,17146.148
528,2083,17113.753499999995
528,2084,17080.4125
528,2085,17046.047
528,2086,17011.303999999996
528,2087,16976.765499999998
528,2088,16942.512999999995
528,2089,16908.481
528,2090,16874.746
528,2091,16841.305500000002
528,2092,16808.112500000003
528,2093,16775.775499999996
528,2094,16744.432000000008
528,2095,16713.8705
528,2096,16684.660499999998
528,2097,16656.767999999996
528,2098,16629.866500000004
528,2099,16604.378499999995
528,2100,16580.141999999996
