Code,Year,Population
100,1950,7157.632
100,1951,7228.7345
100,1952,7293.4685
100,1953,7362.708000000001
100,1954,7439.597999999999
100,1955,7517.9215
100,1956,7596.096500000001
100,1957,7672.058499999999
100,1958,7749.340499999999
100,1959,7820.752999999999
100,1960,7891.755500000001
100,1961,7969.341500000001
100,1962,8040.772000000002
100,1963,8108.152999999999
100,1964,8177.720500000001
100,1965,8245.071500000002
100,1966,8308.899500000003
100,1967,8369.836500000001
100,1968,8438.288000000002
100,1969,8512.918999999996
100,1970,8582.95
100,1971,8646.259499999998
100,1972,8700.153000000002
100,1973,8753.489
100,1974,8810.675
100,1975,8860.971000000001
100,1976,8902.474000000004
100,1977,8935.452500000001
100,1978,8958.2675
100,1979,8974.427
100,1980,8980.605999999998
100,1981,8978.411500000002
100,1982,8970.485
100,1983,8956.433000000003
100,1984,8939.490000000002
100,1985,8917.076500000003
100,1986,8892.099499999998
100,1987,8865.755000000001
100,1988,8835.815000000002
100,1989,8804.43
100,1990,8767.7775
100,1991,8721.660500000002
100,1992,8668.5405
100,1993,8611.535499999998
100,1994,8548.465999999999
100,1995,8477.5795
100,1996,8401.376000000002
100,1997,8318.965499999998
100,1998,8234.926999999998
100,1999,8162.300999999998
100,2000,8097.6915
100,2001,8034.8605
100,2002,7974.8099999999995
100,2003,7917.739499999999
100,2004,7865.3165
100,2005,7815.221499999999
100,2006,7766.036000000001
100,2007,7719.035499999997
100,2008,7674.9130000000005
100,2009,7634.735499999999
100,2010,7592.2725
100,2011,7543.129999999998
100,2012,7488.343999999999
100,2013,7431.167500000001
100,2014,7372.1415
100,2015,7309.2535
100,2016,7245.974499999998
100,2017,7182.4285
100,2018,7117.430499999999
100,2019,7052.531999999999
100,2020,6979.174499999998
100,2021,6885.8675
100,2022,6781.9529999999995
100,2023,6687.716999999999
100,2024,6618.615
100,2025,6565.190000000001
100,2026,6511.1624999999985
100,2027,6456.6055000000015
100,2028,6401.540999999999
100,2029,6346.031
100,2030,6290.166
100,2031,6234.058499999999
100,2032,6177.733999999999
100,2033,6121.235999999999
100,2034,6064.6425
100,2035,6008.012500000003
100,2036,5951.3985
100,2037,5894.951
100,2038,5838.741000000001
100,2039,5782.741499999999
100,2040,5727.0059999999985
100,2041,5671.574999999999
100,2042,5616.467999999998
100,2043,5561.697000000002
100,2044,5507.318
100,2045,5453.3499999999985
100,2046,5399.680499999999
100,2047,5346.268999999999
100,2048,5293.141500000001
100,2049,5240.228
100,2050,5187.392500000001
100,2051,5134.585
100,2052,5081.833499999997
100,2053,5029.132499999998
100,2054,4976.372000000001
100,2055,4923.463500000002
100,2056,4870.413999999999
100,2057,4817.169
100,2058,4763.6655
100,2059,4710.005499999999
100,2060,4656.313999999999
100,2061,4602.564499999999
100,2062,4548.762
100,2063,4494.989499999998
100,2064,4441.384499999999
100,2065,4388.024000000001
100,2066,4334.9985
100,2067,4282.458500000001
100,2068,4230.486
100,2069,4179.1515
100,2070,4128.486500000001
100,2071,4078.5215000000003
100,2072,4029.3424999999993
100,2073,3981.0200000000013
100,2074,3933.5799999999986
100,2075,3887.0604999999996
100,2076,3841.517
100,2077,3796.8995000000004
100,2078,3753.1480000000006
100,2079,3710.3009999999995
100,2080,3668.351500000001
100,2081,3627.2825000000003
100,2082,3587.0755
100,2083,3547.703
100,2084,3509.157
100,2085,3471.3645000000006
100,2086,3434.2985000000003
100,2087,3397.9600000000005
100,2088,3362.2105
100,2089,3326.885500000001
100,2090,3291.9134999999987
100,2091,3257.181500000001
100,2092,3222.5229999999997
100,2093,3187.8975
100,2094,3153.3004999999994
100,2095,3118.6375
100,2096,3083.8654999999994
100,2097,3048.9630000000006
100,2098,3013.885
100,2099,2978.7114999999994
100,2100,2943.542
