Code,Year,Population
860,1950,6247.549499999999
860,1951,6408.801499999998
860,1952,6576.712499999998
860,1953,6754.272499999999
860,1954,6941.899000000002
860,1955,7141.923000000002
860,1956,7355.995500000001
860,1957,7582.899499999999
860,1958,7824.361
860,1959,8085.505499999999
860,1960,8372.311500000002
860,1961,8692.047499999999
860,1962,9038.2225
860,1963,9394.588
860,1964,9758.147000000004
860,1965,10130.096000000001
860,1966,10504.9695
860,1967,10881.532999999996
860,1968,11261.599999999997
860,1969,11641.640000000001
860,1970,12011.360999999999
860,1971,12370.12
860,1972,12733.241999999997
860,1973,13107.928
860,1974,13494.711499999996
860,1975,13894.347500000002
860,1976,14307.397
860,1977,14731.708500000006
860,1978,15154.314
860,1979,15558.907000000001
860,1980,15947.1295
860,1981,16335.641999999994
860,1982,16735.6425
860,1983,17152.857499999995
860,1984,17594.364500000007
860,1985,18063.201500000003
860,1986,18560.008
860,1987,19077.16999999999
860,1988,19600.027999999995
860,1989,20102.902000000002
860,1990,20579.099499999997
860,1991,21074.303499999998
860,1992,21588.138
860,1993,22085.917999999994
860,1994,22564.7325
860,1995,23026.2055
860,1996,23465.926000000003
860,1997,23877.289500000003
860,1998,24256.774999999998
860,1999,24602.708000000006
860,2000,24925.554500000002
860,2001,25248.44450000001
860,2002,25579.029500000008
860,2003,25905.90400000001
860,2004,26234.922499999997
860,2005,26573.422999999995
860,2006,26926.819000000003
860,2007,27309.61599999999
860,2008,27726.810500000003
860,2009,28167.842
860,2010,28614.226999999995
860,2011,29057.457499999997
860,2012,29503.050999999992
860,2013,29963.226000000006
860,2014,30446.54249999999
860,2015,30949.417499999992
860,2016,31453.57450000001
860,2017,31945.682000000004
860,2018,32449.576
860,2019,32976.948000000004
860,2020,33526.6565
860,2021,34081.448999999986
860,2022,34627.652500000004
860,2023,35163.94349999999
860,2024,35673.8035
860,2025,36159.016
860,2026,36622.074000000015
860,2027,37064.7405
860,2028,37491.897999999994
860,2029,37907.251499999984
860,2030,38313.227499999986
860,2031,38710.3805
860,2032,39097.347499999996
860,2033,39477.00600000001
860,2034,39851.948000000004
860,2035,40222.39199999999
860,2036,40589.99749999999
860,2037,40955.388499999994
860,2038,41320.935000000005
860,2039,41689.8075
860,2040,42061.54899999999
860,2041,42434.92749999999
860,2042,42808.67249999999
860,2043,43181.331
860,2044,43550.91900000001
860,2045,43915.921
860,2046,44274.49949999999
860,2047,44623.081
860,2048,44959.113
860,2049,45282.68950000001
860,2050,45593.1495
860,2051,45890.51999999999
860,2052,46175.67599999999
860,2053,46448.134000000005
860,2054,46708.0955
860,2055,46954.664500000006
860,2056,47187.748000000014
860,2057,47409.17899999999
860,2058,47618.95599999999
860,2059,47817.72350000002
860,2060,48006.70500000001
860,2061,48186.16049999999
860,2062,48357.214
860,2063,48521.0295
860,2064,48677.584500000004
860,2065,48828.17900000002
860,2066,48974.083
860,2067,49114.7125
860,2068,49250.62800000001
860,2069,49381.78049999999
860,2070,49509.153000000006
860,2071,49632.663
860,2072,49751.96849999999
860,2073,49866.542499999996
860,2074,49974.6445
860,2075,50077.874500000005
860,2076,50177.26199999997
860,2077,50272.5485
860,2078,50361.977000000006
860,2079,50444.302
860,2080,50520.945
860,2081,50593.46149999999
860,2082,50660.4505
860,2083,50720.34099999999
860,2084,50773.0925
860,2085,50818.51800000001
860,2086,50858.75500000001
860,2087,50894.189
860,2088,50923.589
860,2089,50948.206999999995
860,2090,50968.17249999997
860,2091,50981.600000000006
860,2092,50987.784
860,2093,50987.324499999995
860,2094,50980.738999999994
860,2095,50968.10750000001
860,2096,50948.655
860,2097,50921.52899999999
860,2098,50886.0725
860,2099,50843.1
860,2100,50794.5865
