Code,Year,Population
834,1950,7632.399000000001
834,1951,7834.798999999999
834,1952,8045.274
834,1953,8263.710500000003
834,1954,8490.321999999996
834,1955,8725.575999999997
834,1956,8970.007
834,1957,9224.219999999996
834,1958,9487.671999999999
834,1959,9760.164499999997
834,1960,10042.4575
834,1961,10337.891000000001
834,1962,10644.622500000005
834,1963,10960.161000000004
834,1964,11289.5555
834,1965,11630.603
834,1966,11981.932000000004
834,1967,12346.286000000002
834,1968,12739.964499999996
834,1969,13167.782000000001
834,1970,13618.191499999999
834,1971,14092.217499999997
834,1972,14595.698999999997
834,1973,15123.504500000003
834,1974,15671.315499999997
834,1975,16243.825499999999
834,1976,16838.918999999998
834,1977,17454.627500000006
834,1978,18080.005499999992
834,1979,18698.636000000002
834,1980,19297.659000000003
834,1981,19890.930499999995
834,1982,20499.922
834,1983,21170.717500000002
834,1984,21857.176
834,1985,22569.625499999995
834,1986,23324.2705
834,1987,24099.415499999996
834,1988,24844.14699999999
834,1989,25522.898500000003
834,1990,26206.011999999995
834,1991,26890.905499999997
834,1992,27580.722999999994
834,1993,28469.017000000003
834,1994,29598.323499999995
834,1995,30560.071
834,1996,31140.733499999995
834,1997,31785.84599999999
834,1998,32626.497499999994
834,1999,33499.77250000001
834,2000,34463.70399999999
834,2001,35414.4695
834,2002,36353.5315
834,2003,37333.918000000005
834,2004,38360.87899999999
834,2005,39439.5055
834,2006,40562.051999999996
834,2007,41716.49700000001
834,2008,42870.883499999996
834,2009,43957.93350000001
834,2010,45110.52749999998
834,2011,46416.0315
834,2012,47786.13749999999
834,2013,49253.6435
834,2014,50814.551499999994
834,2015,52542.823500000006
834,2016,54401.801499999994
834,2017,56267.032
834,2018,58090.44300000001
834,2019,59872.579000000005
834,2020,61704.518000000004
834,2021,63588.33400000002
834,2022,65497.748
834,2023,67438.10599999999
834,2024,69419.073
834,2025,71427.8095
834,2026,73462.45949999998
834,2027,75526.304
834,2028,77619.82800000002
834,2029,79739.83750000002
834,2030,81885.30400000005
834,2031,84062.35250000001
834,2032,86270.88600000001
834,2033,88509.83700000001
834,2034,90784.59099999999
834,2035,93088.536
834,2036,95413.99149999997
834,2037,97765.60149999998
834,2038,100141.517
834,2039,102539.96999999997
834,2040,104957.6965
834,2041,107388.34249999997
834,2042,109835.80249999999
834,2043,112307.6415
834,2044,114794.893
834,2045,117289.96349999998
834,2046,119800.68849999999
834,2047,122319.85000000003
834,2048,124844.55699999999
834,2049,127380.96350000001
834,2050,129931.52050000004
834,2051,132492.818
834,2052,135059.64949999997
834,2053,137640.44650000002
834,2054,140233.94250000003
834,2055,142832.5065
834,2056,145428.29600000003
834,2057,148018.6625
834,2058,150609.04549999998
834,2059,153204.30349999992
834,2060,155801.9105
834,2061,158390.9105
834,2062,160971.04150000002
834,2063,163536.296
834,2064,166093.97
834,2065,168645.38349999994
834,2066,171182.42950000006
834,2067,173714.7145000001
834,2068,176242.50650000005
834,2069,178760.90250000003
834,2070,181259.0015
834,2071,183733.82350000003
834,2072,186190.70050000004
834,2073,188628.709
834,2074,191038.0985
834,2075,193421.1774999999
834,2076,195777.922
834,2077,198115.22750000004
834,2078,200442.17399999997
834,2079,202748.343
834,2080,205037.8445
834,2081,207310.71750000006
834,2082,209551.104
834,2083,211767.56250000003
834,2084,213968.08200000002
834,2085,216142.76049999997
834,2086,218286.97800000003
834,2087,220400.593
834,2088,222487.86400000006
834,2089,224539.202
834,2090,226556.2445
834,2091,228543.5825
834,2092,230500.276
834,2093,232425.677
834,2094,234311.32549999998
834,2095,236156.5935
834,2096,237964.438
834,2097,239732.37649999998
834,2098,241461.01750000002
834,2099,243155.79449999993
834,2100,244819.886
