Code,Year,Population
508,1950,5920.215
508,1951,6002.280500000002
508,1952,6082.379500000001
508,1953,6159.684499999998
508,1954,6237.193999999999
508,1955,6318.9045000000015
508,1956,6404.162499999999
508,1957,6492.819999999999
508,1958,6580.3330000000005
508,1959,6675.66
508,1960,6788.375000000001
508,1961,6917.521000000001
508,1962,7060.375500000002
508,1963,7209.807499999999
508,1964,7363.639000000001
508,1965,7524.154
508,1966,7689.642999999998
508,1967,7859.4705
508,1968,8035.528499999998
508,1969,8217.929499999998
508,1970,8411.676000000003
508,1971,8622.890000000001
508,1972,8860.5855
508,1973,9123.668500000002
508,1974,9404.221499999998
508,1975,9703.732000000002
508,1976,10019.210499999997
508,1977,10363.574999999995
508,1978,10741.127499999999
508,1979,11127.844000000001
508,1980,11413.587499999998
508,1981,11640.015500000003
508,1982,11901.826999999997
508,1983,12163.327999999998
508,1984,12426.222999999996
508,1985,12680.064499999997
508,1986,12909.796999999997
508,1987,12964.793499999996
508,1988,12956.772000000003
508,1989,13087.604000000003
508,1990,13303.458499999997
508,1991,13561.175500000003
508,1992,13816.8815
508,1993,14206.253499999997
508,1994,14912.873500000002
508,1995,15594.83
508,1996,16079.5535
508,1997,16521.723999999995
508,1998,16923.194499999998
508,1999,17337.8935
508,2000,17768.5055
508,2001,18220.7165
508,2002,18694.946
508,2003,19186.754499999995
508,2004,19694.410499999998
508,2005,20211.1145
508,2006,20735.982500000006
508,2007,21280.51300000001
508,2008,21845.570499999998
508,2009,22436.6595
508,2010,23073.722999999994
508,2011,23760.420999999995
508,2012,24487.611000000004
508,2013,25251.730999999996
508,2014,26038.704500000003
508,2015,26843.2455
508,2016,27696.4925
508,2017,28569.441
508,2018,29423.878499999995
508,2019,30285.594999999998
508,2020,31178.238999999994
508,2021,32077.072
508,2022,32969.518500000006
508,2023,33897.35399999999
508,2024,34858.402
508,2025,35834.55850000001
508,2026,36825.70100000001
508,2027,37831.1245
508,2028,38849.52199999998
508,2029,39880.16599999999
508,2030,40920.706999999995
508,2031,41972.67699999999
508,2032,43036.239000000016
508,2033,44106.69799999999
508,2034,45186.20149999999
508,2035,46273.717000000026
508,2036,47365.951499999996
508,2037,48466.889500000005
508,2038,49574.69749999999
508,2039,50685.12449999999
508,2040,51800.399999999994
508,2041,52917.30049999998
508,2042,54034.71949999999
508,2043,55157.638999999996
508,2044,56284.54750000002
508,2045,57411.684499999996
508,2046,58538.6115
508,2047,59669.02199999999
508,2048,60798.38749999999
508,2049,61921.6565
508,2050,63044.497500000005
508,2051,64166.95900000002
508,2052,65289.076
508,2053,66411.85800000001
508,2054,67531.0505
508,2055,68645.36349999999
508,2056,69758.296
508,2057,70863.67050000001
508,2058,71955.76750000002
508,2059,73039.50999999997
508,2060,74117.243
508,2061,75187.29749999999
508,2062,76249.1275
508,2063,77300.1795
508,2064,78336.29100000001
508,2065,79364.069
508,2066,80384.50650000002
508,2067,81389.11249999997
508,2068,82380.51999999999
508,2069,83362.5735
508,2070,84333.43999999999
508,2071,85288.23299999998
508,2072,86228.365
508,2073,87158.71750000001
508,2074,88074.38600000001
508,2075,88977.36650000003
508,2076,89867.53200000002
508,2077,90739.626
508,2078,91595.78800000002
508,2079,92436.51550000001
508,2080,93264.59750000003
508,2081,94078.571
508,2082,94874.94399999999
508,2083,95655.75949999999
508,2084,96420.07100000003
508,2085,97165.95249999998
508,2086,97891.68649999998
508,2087,98599.47899999999
508,2088,99291.6995
508,2089,99966.66449999998
508,2090,100621.30550000002
508,2091,101257.80550000003
508,2092,101876.477
508,2093,102477.18
508,2094,103061.54800000001
508,2095,103629.21349999998
508,2096,104180.90250000004
508,2097,104713.64500000005
508,2098,105224.6885
508,2099,105718.60650000001
508,2100,106196.946
