Code,Year,Population
728,1950,2492.0769999999998
728,1951,2526.0734999999995
728,1952,2563.6259999999993
728,1953,2604.565500000001
728,1954,2648.678
728,1955,2695.3490000000006
728,1956,2742.9735000000014
728,1957,2790.0155000000004
728,1958,2831.3705
728,1959,2868.5015000000003
728,1960,2907.7235
728,1961,2948.9529999999995
728,1962,2992.270000000001
728,1963,3036.2385000000004
728,1964,3088.7010000000005
728,1965,3143.622
728,1966,3185.305
728,1967,3221.957499999999
728,1968,3261.7249999999995
728,1969,3301.8915000000006
728,1970,3342.409499999999
728,1971,3396.8080000000004
728,1972,3464.7145000000005
728,1973,3542.4654999999993
728,1974,3629.6084999999994
728,1975,3718.2789999999995
728,1976,3808.6150000000007
728,1977,3901.0435000000007
728,1978,3995.911
728,1979,4092.7920000000004
728,1980,4192.012000000001
728,1981,4293.865999999999
728,1982,4398.2975
728,1983,4502.541
728,1984,4603.039000000002
728,1985,4706.974999999999
728,1986,4819.667000000001
728,1987,4893.808499999998
728,1988,4814.879
728,1989,4706.625500000001
728,1990,4750.817
728,1991,4867.185000000001
728,1992,4956.969
728,1993,5018.172500000001
728,1994,5142.863000000001
728,1995,5302.0425000000005
728,1996,5434.894
728,1997,5589.410499999998
728,1998,5699.435999999998
728,1999,5850.144999999999
728,2000,6114.440500000001
728,2001,6394.431
728,2002,6686.099500000002
728,2003,6992.367
728,2004,7317.117499999999
728,2005,7662.654500000001
728,2006,8029.516999999999
728,2007,8417.822499999997
728,2008,8823.888500000001
728,2009,9229.2265
728,2010,9714.419499999998
728,2011,10243.05
728,2012,10701.6045
728,2013,11106.031
728,2014,11213.284500000005
728,2015,11194.299499999997
728,2016,11066.104999999996
728,2017,10658.225500000004
728,2018,10395.3295
728,2019,10447.666000000001
728,2020,10606.226999999997
728,2021,10748.2725
728,2022,10913.163499999997
728,2023,11088.796000000004
728,2024,11277.091999999999
728,2025,11473.439000000002
728,2026,11676.686499999998
728,2027,11887.262000000006
728,2028,12105.956999999999
728,2029,12333.241
728,2030,12570.402
728,2031,12816.418500000003
728,2032,13069.561999999994
728,2033,13327.396499999999
728,2034,13588.252000000006
728,2035,13850.995
728,2036,14112.524000000001
728,2037,14371.521499999999
728,2038,14628.914999999995
728,2039,14883.662499999997
728,2040,15134.633500000002
728,2041,15383.050500000003
728,2042,15628.86
728,2043,15871.459000000003
728,2044,16110.244000000002
728,2045,16343.904
728,2046,16573.6845
728,2047,16800.486999999997
728,2048,17023.892499999998
728,2049,17243.954999999998
728,2050,17460.845999999998
728,2051,17675.282000000003
728,2052,17886.381499999992
728,2053,18094.509000000002
728,2054,18300.052499999994
728,2055,18503.0705
728,2056,18704.513
728,2057,18904.693500000005
728,2058,19103.064500000004
728,2059,19299.676
728,2060,19495.206000000002
728,2061,19690.183500000003
728,2062,19884.336
728,2063,20076.181000000004
728,2064,20265.487
728,2065,20452.754
728,2066,20637.432000000004
728,2067,20818.869999999995
728,2068,20996.657999999996
728,2069,21170.579
728,2070,21339.913500000013
728,2071,21503.005500000003
728,2072,21658.4615
728,2073,21807.9045
728,2074,21952.422999999995
728,2075,22090.4355
728,2076,22221.354499999998
728,2077,22344.858000000007
728,2078,22461.737000000005
728,2079,22572.754000000004
728,2080,22677.386500000004
728,2081,22775.233000000007
728,2082,22866.693000000003
728,2083,22952.511499999997
728,2084,23032.835000000003
728,2085,23107.008000000005
728,2086,23175.09400000001
728,2087,23237.80150000001
728,2088,23295.783000000003
728,2089,23349.446999999996
728,2090,23398.6685
728,2091,23443.247499999998
728,2092,23483.975000000002
728,2093,23521.851000000002
728,2094,23556.908
728,2095,23589.530499999993
728,2096,23619.762
728,2097,23647.704
728,2098,23673.711
728,2099,23697.860999999997
728,2100,23720.027
