Code,Year,Population
562,1950,2569.1915000000004
562,1951,2659.6985000000004
562,1952,2749.567
562,1953,2838.9830000000006
562,1954,2928.4295
562,1955,3018.555499999999
562,1956,3109.7880000000005
562,1957,3202.6489999999994
562,1958,3297.839499999999
562,1959,3395.9465
562,1960,3497.431000000001
562,1961,3602.5295
562,1962,3711.0675000000006
562,1963,3822.6969999999997
562,1964,3937.0084999999995
562,1965,4053.524
562,1966,4172.500499999999
562,1967,4294.2835000000005
562,1968,4417.9545
562,1969,4542.992500000001
562,1970,4669.707999999999
562,1971,4797.0675
562,1972,4926.317999999998
562,1973,5059.381999999998
562,1974,5196.5790000000015
562,1975,5339.4965
562,1976,5488.6575
562,1977,5644.7035
562,1978,5810.350999999999
562,1979,5987.151500000002
562,1980,6173.177000000001
562,1981,6366.262
562,1982,6564.4455
562,1983,6766.606499999998
562,1984,6973.8485
562,1985,7187.618499999999
562,1986,7408.3645000000015
562,1987,7636.591000000002
562,1988,7872.2525000000005
562,1989,8116.074999999999
562,1990,8370.6485
562,1991,8634.640500000003
562,1992,8907.644
562,1993,9193.078000000003
562,1994,9493.323499999999
562,1995,9813.918499999998
562,1996,10149.937
562,1997,10494.201000000005
562,1998,10854.92
562,1999,11231.469499999997
562,2000,11622.665
562,2001,12031.429999999998
562,2002,12456.517500000002
562,2003,12900.7895
562,2004,13366.884499999995
562,2005,13855.2215
562,2006,14365.168500000003
562,2007,14897.873
562,2008,15455.175500000003
562,2009,16037.915
562,2010,16647.5435
562,2011,17283.11200000001
562,2012,17954.406999999996
562,2013,18653.199
562,2014,19372.014
562,2015,20128.123999999993
562,2016,20921.74300000001
562,2017,21737.922
562,2018,22577.057999999994
562,2019,23443.393
562,2020,24333.638499999997
562,2021,25252.722
562,2022,26207.976499999993
562,2023,27202.843
562,2024,28238.97249999999
562,2025,29315.97100000001
562,2026,30427.54950000001
562,2027,31572.96549999999
562,2028,32753.298999999995
562,2029,33969.22050000001
562,2030,35217.94149999999
562,2031,36498.899000000005
562,2032,37815.95799999998
562,2033,39167.0735
562,2034,40551.80799999998
562,2035,41971.174
562,2036,43423.74950000002
562,2037,44909.73949999999
562,2038,46431.15300000002
562,2039,47985.369000000006
562,2040,49566.68999999999
562,2041,51181.04800000001
562,2042,52829.80999999999
562,2043,54507.49949999999
562,2044,56212.0915
562,2045,57946.39500000002
562,2046,59709.80849999999
562,2047,61501.999500000005
562,2048,63323.89650000002
562,2049,65171.541999999994
562,2050,67043.296
562,2051,68934.312
562,2052,70845.05050000001
562,2053,72777.76299999998
562,2054,74730.10650000001
562,2055,76701.57500000001
562,2056,78691.38350000001
562,2057,80697.29899999998
562,2058,82710.0655
562,2059,84728.77199999997
562,2060,86760.44550000003
562,2061,88808.07199999999
562,2062,90869.89449999997
562,2063,92939.65749999999
562,2064,95024.9365
562,2065,97128.585
562,2066,99241.88949999999
562,2067,101355.27250000005
562,2068,103467.35500000003
562,2069,105582.8455
562,2070,107699.63750000003
562,2071,109816.69000000003
562,2072,111933.5255
562,2073,114052.17349999996
562,2074,116169.61049999998
562,2075,118284.22049999998
562,2076,120393.262
562,2077,122491.28349999998
562,2078,124580.38599999997
562,2079,126665.74600000001
562,2080,128744.959
562,2081,130813.38399999998
562,2082,132874.22649999996
562,2083,134925.93999999997
562,2084,136965.04849999998
562,2085,138991.055
562,2086,141007.05
562,2087,143006.426
562,2088,144985.39900000003
562,2089,146942.47699999996
562,2090,148878.6365
562,2091,150796.97100000002
562,2092,152692.19649999993
562,2093,154566.24800000005
562,2094,156422.12050000002
562,2095,158252.73750000002
562,2096,160055.585
562,2097,161831.4775
562,2098,163580.6275
562,2099,165307.88400000002
562,2100,167008.2980000001
