Code,Year,Population
752,1950,7014.610000000001
752,1951,7068.4254999999985
752,1952,7119.4515
752,1953,7169.974999999998
752,1954,7217.595000000001
752,1955,7264.350999999999
752,1956,7312.105500000001
752,1957,7358.119999999998
752,1958,7403.2919999999995
752,1959,7449.323000000002
752,1960,7492.895
752,1961,7536.310499999999
752,1962,7582.635000000001
752,1963,7632.9304999999995
752,1964,7691.822499999998
752,1965,7755.751999999999
752,1966,7819.971000000001
752,1967,7882.643999999999
752,1968,7937.776500000001
752,1969,7983.534999999998
752,1970,8027.701499999998
752,1971,8073.819499999999
752,1972,8117.7155
752,1973,8156.938499999999
752,1974,8193.1535
752,1975,8224.4085
752,1976,8246.994999999999
752,1977,8265.241499999995
752,1978,8281.298499999997
752,1979,8296.033499999998
752,1980,8311.762499999999
752,1981,8326.687000000005
752,1982,8340.722999999998
752,1983,8355.107
752,1984,8371.289500000003
752,1985,8389.913
752,1986,8411.791000000001
752,1987,8437.994
752,1988,8468.136999999999
752,1989,8504.982000000002
752,1990,8548.405499999999
752,1991,8594.170500000002
752,1992,8640.272
752,1993,8683.4045
752,1994,8723.460500000001
752,1995,8758.4955
752,1996,8785.4935
752,1997,8807.869000000002
752,1998,8828.633
752,1999,8848.876
752,2000,8871.043500000002
752,2001,8896.748499999998
752,2002,8926.011999999999
752,2003,8961.5065
752,2004,9004.262499999999
752,2005,9051.737999999998
752,2006,9104.719500000001
752,2007,9164.2725
752,2008,9229.270499999997
752,2009,9301.413
752,2010,9381.7295
752,2011,9467.3875
752,2012,9555.9865
752,2013,9648.932
752,2014,9747.508499999998
752,2015,9849.348500000002
752,2016,9953.317
752,2017,10058.189999999999
752,2018,10162.297999999999
752,2019,10267.921499999999
752,2020,10368.969500000001
752,2021,10467.097000000002
752,2022,10549.347000000003
752,2023,10612.086000000001
752,2024,10673.669499999998
752,2025,10733.866999999998
752,2026,10792.212500000001
752,2027,10848.755000000001
752,2028,10903.539
752,2029,10956.367
752,2030,11007.227499999999
752,2031,11056.111
752,2032,11103.547000000002
752,2033,11149.6305
752,2034,11194.468499999999
752,2035,11238.751500000004
752,2036,11282.735500000003
752,2037,11326.610500000004
752,2038,11370.307
752,2039,11414.0135
752,2040,11458.122000000005
752,2041,11502.693000000001
752,2042,11547.531000000003
752,2043,11592.572499999998
752,2044,11637.925000000001
752,2045,11683.489500000001
752,2046,11728.858500000002
752,2047,11773.615499999998
752,2048,11817.526999999998
752,2049,11860.3975
752,2050,11902.033500000001
752,2051,11942.617499999998
752,2052,11982.219000000001
752,2053,12020.562500000005
752,2054,12057.660999999998
752,2055,12093.388500000003
752,2056,12127.603
752,2057,12160.600999999999
752,2058,12192.5065
752,2059,12223.2265
752,2060,12253.0335
752,2061,12282.431000000002
752,2062,12311.632499999998
752,2063,12340.594000000003
752,2064,12369.453
752,2065,12398.207499999999
752,2066,12426.975500000002
752,2067,12456.031
752,2068,12485.166500000001
752,2069,12514.369
752,2070,12543.628500000003
752,2071,12572.681499999999
752,2072,12601.637999999999
752,2073,12630.7575
752,2074,12659.7115
752,2075,12688.014
752,2076,12715.476000000002
752,2077,12741.8995
752,2078,12766.976499999999
752,2079,12790.765500000001
752,2080,12813.237500000001
752,2081,12834.117999999999
752,2082,12853.704000000003
752,2083,12872.296000000002
752,2084,12890.061500000002
752,2085,12907.144499999997
752,2086,12923.783499999998
752,2087,12940.201000000003
752,2088,12956.8125
752,2089,12973.8945
752,2090,12991.508999999998
752,2091,13009.682999999999
752,2092,13028.551000000001
752,2093,13048.267499999996
752,2094,13068.530999999997
752,2095,13088.940500000002
752,2096,13109.151500000002
752,2097,13129.0595
752,2098,13148.860499999999
752,2099,13168.570499999994
752,2100,13187.841
