Code,Year,Population
608,1950,18469.878
608,1951,19301.117
608,1952,20167.861
608,1953,21073.747000000003
608,1954,22025.355000000003
608,1955,23027.909500000005
608,1956,24079.343500000003
608,1957,25175.945999999996
608,1958,26302.695999999996
608,1959,27460.371000000003
608,1960,28486.8705
608,1961,29342.411
608,1962,30185.979000000003
608,1963,31043.7105
608,1964,31916.622
608,1965,32805.538
608,1966,33704.748999999996
608,1967,34616.8575
608,1968,35544.97249999999
608,1969,36477.1695
608,1970,37435.5855
608,1971,38421.746000000014
608,1972,39412.47900000001
608,1973,40406.2335
608,1974,41388.324
608,1975,42394.432499999995
608,1976,43474.36950000001
608,1977,44646.51850000002
608,1978,45890.73900000001
608,1979,47154.23199999998
608,1980,48419.54549999999
608,1981,49679.3305
608,1982,50938.52249999999
608,1983,52219.684499999996
608,1984,53514.95950000002
608,1985,54812.6605
608,1986,56109.8385
608,1987,57415.174500000016
608,1988,58755.922499999986
608,1989,60127.343000000015
608,1990,61558.897999999994
608,1991,63039.75049999998
608,1992,64543.525000000016
608,1993,66083.32049999999
608,1994,67650.283
608,1995,69250.46800000001
608,1996,70944.96899999998
608,1997,72718.8375
608,1998,74491.9185
608,1999,76249.0645
608,2000,77958.22349999998
608,2001,79626.08600000001
608,2002,81285.57250000001
608,2003,82942.83649999998
608,2004,84607.50100000002
608,2005,86261.25050000002
608,2006,87901.83500000004
608,2007,89561.377
608,2008,91252.32650000005
608,2009,92946.95150000001
608,2010,94636.69950000002
608,2011,96337.91350000001
608,2012,98032.317
608,2013,99700.10750000003
608,2014,101325.20049999999
608,2015,103031.36500000002
608,2016,104875.2665
608,2017,106738.50150000003
608,2018,108568.83600000002
608,2019,110380.8045
608,2020,112190.97749999998
608,2021,113880.32800000001
608,2022,115559.00899999998
608,2023,117337.36799999997
608,2024,119106.22449999997
608,2025,120864.358
608,2026,122610.19350000001
608,2027,124343.50250000002
608,2028,126062.041
608,2029,127766.36900000002
608,2030,129453.32100000001
608,2031,131122.94700000004
608,2032,132771.74000000002
608,2033,134393.2955
608,2034,135989.26150000005
608,2035,137561.513
608,2036,139105.04299999998
608,2037,140621.20399999997
608,2038,142116.80849999993
608,2039,143584.90249999997
608,2040,145022.25
608,2041,146428.6065
608,2042,147801.667
608,2043,149149.91399999996
608,2044,150475.79900000003
608,2045,151774.77999999997
608,2046,153050.50549999997
608,2047,154302.92600000004
608,2048,155526.64649999997
608,2049,156722.22500000003
608,2050,157891.6225
608,2051,159037.6445
608,2052,160155.64
608,2053,161244.15449999998
608,2054,162304.91600000006
608,2055,163333.449
608,2056,164330.93850000005
608,2057,165298.82150000002
608,2058,166233.51999999996
608,2059,167137.82550000004
608,2060,168013.22950000002
608,2061,168858.84050000005
608,2062,169680.323
608,2063,170475.44700000001
608,2064,171236.14250000005
608,2065,171966.368
608,2066,172664.66100000002
608,2067,173325.46200000003
608,2068,173957.57
608,2069,174561.83449999994
608,2070,175134.198
608,2071,175676.15300000002
608,2072,176192.6785
608,2073,176685.17100000006
608,2074,177148.86099999998
608,2075,177582.65150000004
608,2076,177983.73950000003
608,2077,178354.71899999998
608,2078,178695.5245
608,2079,179008.37299999993
608,2080,179298.6215
608,2081,179562.97499999992
608,2082,179798.34450000004
608,2083,180006.57999999996
608,2084,180191.81500000006
608,2085,180351.07100000003
608,2086,180487.79699999996
608,2087,180605.4705
608,2088,180702.317
608,2089,180776.26500000004
608,2090,180828.9355
608,2091,180858.74
608,2092,180862.50749999998
608,2093,180841.424
608,2094,180799.61200000002
608,2095,180740.37500000003
608,2096,180663.64049999998
608,2097,180568.2235
608,2098,180449.69249999995
608,2099,180310.24749999997
608,2100,180147.65950000007
